Register,Sigle,Fundort,OCIANA-Typ,Grafik im Text (Vorbefund),Zeichnung? (bitte ausfüllen),OCIANA-URL
I stehe,JaS 4,Km 612,Signature,,,http://krc.orient.ox.ac.uk/ociana/corpus/pages/OCIANA_0002828.html
I stehe,JaS 5,Km 612,Signature,,,http://krc.orient.ox.ac.uk/ociana/corpus/pages/OCIANA_0002829.html
I stehe,JaS 15,Km 612,Signature,,,http://krc.orient.ox.ac.uk/ociana/corpus/pages/OCIANA_0002839.html
I stehe,JaS 22,Km 612,Signature,,,http://krc.orient.ox.ac.uk/ociana/corpus/pages/OCIANA_0002846.html
I stehe,JaS 13,Km 612,Minimal,,,http://krc.orient.ox.ac.uk/ociana/corpus/pages/OCIANA_0002837.html
I stehe,JaS 21,Km 612,Minimal,,,http://krc.orient.ox.ac.uk/ociana/corpus/pages/OCIANA_0002845.html
I stehe,HCH 99,Hani,Minimal,,,http://krc.orient.ox.ac.uk/ociana/corpus/pages/OCIANA_0002861.html
I stehe,HCH 22,Hani,Minimal,,,http://krc.orient.ox.ac.uk/ociana/corpus/pages/OCIANA_0002875.html
I stehe,HCH 38,Hani,Minimal,,,http://krc.orient.ox.ac.uk/ociana/corpus/pages/OCIANA_0030394.html
II schreibe,RWQ 342,Wādī Salma,Short narrative,,,http://krc.orient.ox.ac.uk/ociana/corpus/pages/OCIANA_0032270.html
II schreibe,RWQ 187,Wādī Salma,Short narrative,,,http://krc.orient.ox.ac.uk/ociana/corpus/pages/OCIANA_0032115.html
II schreibe,HYGQ 24,Fundort unbekannt,Minimal,,,http://krc.orient.ox.ac.uk/ociana/corpus/pages/OCIANA_0031460.html
II schreibe,KRS 1341,Al-Mafraq,Minimal,Löwe (explizit: „drawing of the lion“),,http://krc.orient.ox.ac.uk/ociana/corpus/pages/OCIANA_0021970.html
II schreibe,JaS 16,Km 612,Signature,,,http://krc.orient.ox.ac.uk/ociana/corpus/pages/OCIANA_0002840.html
II schreibe,HCH 117,Hani,Signature,,,http://krc.orient.ox.ac.uk/ociana/corpus/pages/OCIANA_0002970.html
II schreibe,HCH 156,Hani,Signature,,,http://krc.orient.ox.ac.uk/ociana/corpus/pages/OCIANA_0003009.html
II schreibe,HCH 160,Hani,Signature,,,http://krc.orient.ox.ac.uk/ociana/corpus/pages/OCIANA_0003013.html
II schreibe,HCH 158.1,Hani,Signature,,,http://krc.orient.ox.ac.uk/ociana/corpus/pages/OCIANA_0003057.html
II schreibe,HCH 75,Hani,Signature,,,http://krc.orient.ox.ac.uk/ociana/corpus/pages/OCIANA_0002928.html
II schreibe,HCH 158.2,Hani,Signature,,,http://krc.orient.ox.ac.uk/ociana/corpus/pages/OCIANA_0003058.html
II schreibe,HCH 31.1,Hani,Signature,,,http://krc.orient.ox.ac.uk/ociana/corpus/pages/OCIANA_0003059.html
II schreibe,Rees 150,Ḥarrat al-Raǧil,Signature,,,http://krc.orient.ox.ac.uk/ociana/corpus/pages/OCIANA_0003080.html
II schreibe,Rees 151,Ḥarrat al-Raǧil,Signature,,,http://krc.orient.ox.ac.uk/ociana/corpus/pages/OCIANA_0003081.html
II schreibe,Rees 155,Ḥarrat al-Raǧil,Signature,,,http://krc.orient.ox.ac.uk/ociana/corpus/pages/OCIANA_0003086.html
II schreibe,Rees 161 4,Ḥarrat al-Raǧil,Signature,,,http://krc.orient.ox.ac.uk/ociana/corpus/pages/OCIANA_0003097.html
II schreibe,Rees 176,Ḥarrat al-Raǧil,Signature,,,http://krc.orient.ox.ac.uk/ociana/corpus/pages/OCIANA_0003111.html
III warte,ASWS 73,Wādī Sārah,Narrative,,,http://krc.orient.ox.ac.uk/ociana/corpus/pages/OCIANA_0031628.html
