Register,Sigle,Fundort,Zeichnung,Motiv,Quelle,im Band
I stehe,JaS 4,Km 612,nein,,,—
I stehe,JaS 5,Km 612,nein,,,—
I stehe,JaS 15,Km 612,nein,,,—
I stehe,JaS 22,Km 612,nein,,,—
I stehe,JaS 13,Km 612,nein,,,—
I stehe,JaS 21,Km 612,nein,,,—
I stehe,HCH 99,Hani,nein,,,—
I stehe,HCH 22,Hani,nein,,,—
I stehe,HCH 38,Hani,nein,,,—
II schreibe,RWQ 342,Wādī Salma,nein,,,—
II schreibe,RWQ 187,Wādī Salma,nein,,,—
II schreibe,HYGQ 24,Fundort unbekannt,ja,Löwe,Text ist Bildunterschrift „is [the drawing of] the lion“,im Band benannt
II schreibe,KRS 1341,Al-Mafraq,ja,Löwe,Associated Drawings (d/1) + Text „drawing of the lion“,im Band benannt
II schreibe,JaS 16,Km 612,nein,,,—
II schreibe,HCH 117,Hani,nein,,,—
II schreibe,HCH 156,Hani,nein,,,—
II schreibe,HCH 160,Hani,nein,,,—
II schreibe,HCH 158.1,Hani,nein,,,—
II schreibe,HCH 75,Hani,nein,,,—
II schreibe,HCH 158.2,Hani,nein,,,—
II schreibe,HCH 31.1,Hani,nein,,,—
II schreibe,Rees 150,Ḥarrat al-Raǧil,nein,,,—
II schreibe,Rees 151,Ḥarrat al-Raǧil,nein,,,—
II schreibe,Rees 155,Ḥarrat al-Raǧil,nein,,,—
II schreibe,Rees 161 4,Ḥarrat al-Raǧil,nein,,,—
II schreibe,Rees 176,Ḥarrat al-Raǧil,nein,,,—
III warte,ASWS 73,Wādī Sārah,nein,,,—
III warte,RSIS 110,Tall aḍ-Ḍabiʿ,nein,,,—
III warte,Is.Mu 255,al-ʿĪsāwī,nein,,,—
III warte,SIJ 30,Jathum,nein,,,—
III warte,LP 1196,Rif Dimašq,nein,,,—
III warte,KRS 3051,Al-Mafraq,ja,junge Kamelstute,Associated Drawings (d/1) + Text „is the young she-camel“,im Band benannt
III warte,CSNS 796,Qāʿ al-Maḥfūr,nein,,,—
III warte,C 2756,Zalaf,nein,,,—
III warte,C 2753,Zalaf,nein,,,—
III warte,RSIS 322,Tall aḍ-Ḍabiʿ,nein,,,—
III warte,WH 175,WH Cairn 7,nein,,,—
III warte,AbSWS 15,Wādī Salma,nein,,,—
III warte,KWQ 113,Tell 5,nein,,,—
III warte,ASWS 183,Wādī Sārah,nein,,,—
III warte,CEDS 226,EDS 80-5,nein,,,—
III warte,SIJ 323,Jawa,nein,,,—
III warte,SIJ 14,Jathum,nein,,,—
III warte,GSSH 1,Al-Mafraq,nein,,,—
III warte,C 2194,Zalaf,nein,,,—
IV bitte,BS 209,Al-Mafraq,nein,,,—
IV bitte,MKJS 80,Al-Mafraq,nein,,,—
IV bitte,LP 1267,Al-Suwaydā,nein,,,—
IV bitte,Is.Mu 88,al-ʿĪsāwī,nein,,,—
IV bitte,AbSWS 42,Wādī Salma,nein,,,—
IV bitte,WAMS 19.2,Km 910,nein,,,—
IV bitte,C 64,Ǧabal Says,nein,,,—
IV bitte,C 134,Ǧabal Says,nein,,,—
IV bitte,C 218,Rif Dimašq,nein,,,—
IV bitte,C 1412,Riǧm Qaʿqūl,nein,,,—
IV bitte,C 805,Rif Dimašq,nein,,,—
IV bitte,C 885,Khirbat al-Umbāšī,nein,,,—
IV bitte,C 898,Khirbat al-Hubayrīyah,nein,,,—
IV bitte,C 907,Khirbat al-Hubayrīyah,nein,,,—
IV bitte,C 1086,Rif Dimašq,nein,,,—
