Register	Sigle	Fundort	Transliteration	OCIANA-Uebersetzung	Deutsche Fassung
stehen	AAEK 102	Qāʿ Fahadah	l dʾyt bn mʿdʾl bn ʾḏnt bn hs¹m bn gḥs²t bn s¹dy bn wṭy bn byq bn ngrt bn qnfḏ	By Dʾyt son of Mʿdʾl son of ʾḏnt son of Hs¹m son of Gḥs²t son of S¹dy son of Wṭy son of Byq son of Ngrt son of Qnfḏ	Von Dʾyt, / Sohn des Mʿdʾl, Sohn des ʾḏnt, / Sohn des Hsm, Sohn des Gḥšt, / Sohn des Sdy, Sohn des Wṭy, / Sohn des Byq, Sohn des Ngrt, / Sohn des Qnfḏ.
stehen	AAEK 120	Qāʿ Fahadah	l ʾzr bn ftn bn gṯ bn s²ʿr bn rḥmʾl bn mrʾt bn gryt	By ʾzr son of Ftn son of Gṯ son of S²ʿr son of Rḥmʾl son of Mrʾt son of Gryt	Von ʾzr, Sohn des Ftn, / Sohn des Gṯ, Sohn des Šʿr, / Sohn des Rḥmʾl, / Sohn des Mrʾt, Sohn des Gryt.
stehen	ASFF 244	Qāʿ Fahadah	l ʾzr bn ftn bn mṯn bn s²ʿhm bn rḥhl bn mrʾt bn gryt	By ʾzr son of Ftn son of Mṯn son of S²ʿhm son of Rḥhl son of Mrʾt son of Gryt	Von ʾzr, Sohn des Ftn, / Sohn des Mṯn, Sohn des Šʿhm, / Sohn des Rḥhl, / Sohn des Mrʾt, Sohn des Gryt.
stehen	ASFF 390	Qāʿ Fahadah	l hnʾt bn s¹lmt bn lḏn bn s¹krn bn ndbn bn ṣrm	By Hnʾt son of S¹lmt son of Lḏn son of S¹krn son of Ndbn son of Ṣrm	Von Hnʾt, Sohn des Slmt, / Sohn des Lḏn, Sohn des Skrn, / Sohn des Ndbn, Sohn des Ṣrm.
stehen	ASFF 392	Qāʿ Fahadah	l kmn bn s¹lmt bn lḏn bn s¹krn bn ndbn bn ṣrm	By Kmn son of S¹lmt son of Lḏn son of S¹krn son of Ndbn son of Ṣrm	Von Kmn, Sohn des Slmt, / Sohn des Lḏn, Sohn des Skrn, / Sohn des Ndbn, Sohn des Ṣrm.
stehen	HCH 22	Hani	l tm bn ḫlṣ bn tm bn s²ʿ w wgm ʿl- hnʾ	By Tm son of Ḫlṣ son of Tm son of S²ʿ and he grieved for Hnʾ	Von Tm, Sohn des Ḫlṣ, / Sohn des Tm, Sohn des Šʿ. / Und er trauerte um Hnʾ.
stehen	HCH 38	Hani	l ʾs¹d bn ẓn bn ṯlm w wgm ʿl- hnʾ	By ʾs¹d son of Ẓn son of Ṯlm and he grieved for Hnʾ	Von ʾsd, Sohn des Ẓn, Sohn des Ṯlm. / Und er trauerte um Hnʾ.
stehen	HCH 99	Hani	l ʿrb bn hrs¹ w wgm ʿl- hnʾ	By ʿrb son of Hrs¹ and he grieved* for Hnʾ	Von ʿrb, Sohn des Hrs. / Und er trauerte um Hnʾ.
stehen	JaS 13	Km 612	l gs²m bn s¹mr ḏ- ʾl bs¹{ʾ} w {w}gm ʿl- n{ḥ}{ṭ}	By Gs²m son of S¹mr of the lineage of Bs¹ʾ and he grieved for Nḥṭ	Von Gšm, Sohn des Smr, / vom Stamm Bsʾ. / Und er trauerte um Nḥṭ.
stehen	JaS 15	Km 612	l ḥmr bn bnġḍw bn s¹fʾ bn {ḥ}{n}{f}	By Ḥmr son of Bnġdw son of S¹fʾ son of Ḥnf	Von Ḥmr, Sohn des Bnġḍw, / Sohn des Sfʾ, Sohn des Ḥnf.
stehen	JaS 21	Km 612	{l} {t}{ʾ}{l} bn {ʿ}z w wgm ʿl- ʾb -h	By tʾl son of ʿz and he grieved for his father	Von Tʾl, Sohn des ʿz. / Und er trauerte um den Vater.
stehen	JaS 22	Km 612	{l} {h}{n}ʾ {b}{n} s²{n}ʾ bn gmr bn ḍ{ʾ}	By Hnʾ son of S²nʾ son of Gmr son of Ḍʾ	Von Hnʾ, Sohn des Šnʾ, / Sohn des Gmr, Sohn des Ḍʾ.
stehen	JaS 4	Km 612	l msk bn s²dt bn mḥlm bn s²dt bn mḥlm ḏ- ʾl tm	By Msk son of S²dt son of Mḥlm son of S²dt son of Mḥlm of the lineage of Tm	Von Msk, Sohn des Šdt, / Sohn des Mḥlm, Sohn des Šdt, / Sohn des Mḥlm, / vom Stamm Tm.
