Sigle,Motiv,Bild-Nr,Dateiname,URL
KRS 1341,Löwe,1,im0015580.jpg,http://krc.orient.ox.ac.uk/ociana/corpus/images/fullsize/im0015580.jpg
KRS 1341,Löwe,2,im0015579.jpg,http://krc.orient.ox.ac.uk/ociana/corpus/images/fullsize/im0015579.jpg
KRS 1341,Löwe,3,im0015581.jpg,http://krc.orient.ox.ac.uk/ociana/corpus/images/fullsize/im0015581.jpg
HYGQ 24,Löwe,1,im0056401.jpg,http://krc.orient.ox.ac.uk/ociana/corpus/images/fullsize/im0056401.jpg
HYGQ 24,Löwe,2,im0056364.jpg,http://krc.orient.ox.ac.uk/ociana/corpus/images/fullsize/im0056364.jpg
KRS 3051,junge Kamelstute,1,im0021956.jpg,http://krc.orient.ox.ac.uk/ociana/corpus/images/fullsize/im0021956.jpg
KRS 3051,junge Kamelstute,2,im0021955.jpg,http://krc.orient.ox.ac.uk/ociana/corpus/images/fullsize/im0021955.jpg
KRS 3051,junge Kamelstute,3,im0021957.jpg,http://krc.orient.ox.ac.uk/ociana/corpus/images/fullsize/im0021957.jpg
C 1658,zwei Kamele + Krieger,1,im0028730.jpg,http://krc.orient.ox.ac.uk/ociana/corpus/images/fullsize/im0028730.jpg
C 286,Göttin Rḍy / weibl. Figuren,1,im0027384.jpg,http://krc.orient.ox.ac.uk/ociana/corpus/images/fullsize/im0027384.jpg
HCH 85,zwei Zeichnungen,1,im0038211.jpg,http://krc.orient.ox.ac.uk/ociana/corpus/images/fullsize/im0038211.jpg
HCH 85,zwei Zeichnungen,2,im0038236.jpg,http://krc.orient.ox.ac.uk/ociana/corpus/images/fullsize/im0038236.jpg
HCH 85,zwei Zeichnungen,3,im0038237.jpg,http://krc.orient.ox.ac.uk/ociana/corpus/images/fullsize/im0038237.jpg
HCH 85,zwei Zeichnungen,4,im0038238.jpg,http://krc.orient.ox.ac.uk/ociana/corpus/images/fullsize/im0038238.jpg
HCH 85,zwei Zeichnungen,5,im0038239.jpg,http://krc.orient.ox.ac.uk/ociana/corpus/images/fullsize/im0038239.jpg
C 2670,Oryx,1,im0093488.jpg,http://krc.orient.ox.ac.uk/ociana/corpus/images/fullsize/im0093488.jpg
C 2670,Oryx,2,im0093489.jpg,http://krc.orient.ox.ac.uk/ociana/corpus/images/fullsize/im0093489.jpg
C 2670,Oryx,3,im0029738.jpg,http://krc.orient.ox.ac.uk/ociana/corpus/images/fullsize/im0029738.jpg
